l0,0=0,81,80,92,89,88,86,86,84,88,83,75,84,80,30,0,76,3,43,0,0,0,0,0,0,0,0,0,0,0,73,59,0,0,0,0,0,0,0,0,0,0,0,0,0
l1,0=87,0,80,92,86,88,90,94,89,86,77,79,84,84,28,0,61,33,46,22,32,0,0,0,0,33,0,0,0,0,0,55,0,0,0,0,0,0,0,0,22,0,0,0,0
l2,0=87,81,0,88,86,88,90,91,89,86,83,79,84,84,29,0,77,78,40,25,28,3,0,0,0,38,19,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
l3,0=87,82,80,0,90,88,90,86,83,86,80,79,79,79,10,0,76,78,67,2,0,0,0,0,0,0,0,0,0,0,73,56,0,0,0,0,0,0,0,0,1,0,0,0,0
l4,0=87,80,75,92,0,88,90,84,84,89,77,67,61,75,28,0,75,1,0,0,0,0,0,0,0,0,0,0,0,0,63,59,0,0,0,0,0,0,0,0,0,0,0,0,0
l5,0=87,82,80,92,90,0,90,93,83,50,68,79,84,48,29,0,72,73,43,18,34,0,0,0,0,0,0,0,0,0,52,45,0,0,0,0,0,0,0,0,29,26,0,0,0
l6,0=86,82,80,90,89,88,0,94,89,85,73,78,86,66,31,0,80,67,49,25,43,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l7,0=86,81,80,90,86,88,90,0,89,89,83,79,84,83,75,0,82,0,76,79,73,0,45,47,58,52,60,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,47,0
l8,0=86,81,80,90,87,88,90,94,0,89,83,79,84,83,48,0,78,68,53,75,46,0,59,34,32,37,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
l9,0=81,78,78,83,87,80,84,94,89,0,83,82,86,84,73,0,79,50,39,17,41,57,0,41,32,37,13,0,0,0,36,40,0,0,0,0,0,0,0,0,0,0,0,0,0
l10,0=86,80,79,44,30,78,85,85,53,86,0,79,86,28,28,0,88,74,86,79,53,13,67,46,43,66,22,25,0,0,56,24,0,0,0,0,0,0,0,0,1,0,19,6,0
l11,0=75,81,79,44,18,88,82,90,89,89,83,0,86,84,75,0,82,72,40,74,79,50,20,0,38,12,21,23,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l12,0=85,80,79,44,83,87,85,86,82,86,88,82,0,84,75,0,81,77,75,74,86,0,0,4,13,44,64,68,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,36
l13,0=85,82,80,75,85,80,85,94,89,89,64,82,86,0,75,0,89,78,75,31,50,51,21,44,0,56,0,0,0,0,44,41,0,0,0,0,0,0,0,0,0,0,0,30,0
l14,0=29,53,55,0,24,60,64,69,30,31,50,73,51,29,0,0,88,86,94,85,99,0,50,48,39,56,19,24,0,0,75,57,0,63,0,0,0,0,0,14,28,58,66,69,68
l15,0=45,27,61,24,20,60,77,87,35,76,88,82,84,84,84,0,0,60,94,25,92,75,57,51,40,82,36,46,0,0,74,31,12,21,0,0,0,0,0,7,25,1,63,62,62
l16,0=0,36,54,15,0,44,38,0,24,0,57,67,45,27,32,0,74,0,65,31,57,0,0,35,46,50,23,0,0,0,88,86,16,31,0,61,0,23,33,16,33,77,56,42,10
l17,0=39,58,51,22,0,64,57,70,31,27,84,51,63,51,85,0,89,90,0,86,99,73,0,40,49,51,24,25,0,0,56,49,0,0,0,0,0,0,0,0,26,54,62,64,66
l18,0=0,19,43,0,0,12,41,64,30,3,65,60,48,24,59,0,67,90,72,0,99,90,68,51,53,88,57,27,0,0,57,16,27,30,0,22,0,0,27,9,34,59,83,81,71
l19,0=0,0,29,0,0,47,44,60,33,24,81,72,85,43,85,0,88,87,92,86,0,70,58,49,56,87,68,24,0,0,93,85,0,50,0,0,0,0,0,0,85,55,49,82,90
l20,0=0,0,6,0,0,0,0,1,0,36,23,23,0,24,0,0,81,0,71,84,65,0,99,99,84,88,82,95,0,0,0,0,55,50,0,84,70,22,56,42,6,39,84,36,75
l21,0=0,0,0,0,0,0,0,40,67,0,73,7,0,0,27,0,78,0,0,82,52,100,0,95,91,82,82,94,0,0,0,0,0,67,0,0,24,0,45,33,0,0,42,0,62
l22,0=0,0,0,0,0,0,0,30,30,35,44,0,0,27,64,0,78,38,34,81,60,97,51,0,91,39,90,93,0,0,0,10,57,77,0,54,76,25,68,37,41,40,70,40,63
l23,0=0,0,0,0,0,0,0,27,4,10,46,37,7,0,27,0,62,82,75,79,84,81,87,100,0,88,90,87,0,0,0,7,27,33,0,1,21,15,56,17,28,72,71,81,93
l24,0=0,30,23,0,0,0,0,55,13,15,80,20,26,41,73,0,83,61,55,85,89,97,67,34,92,0,90,67,0,0,0,1,0,80,0,60,55,0,29,44,27,41,84,81,89
l25,0=0,0,19,0,0,0,0,37,21,8,64,34,71,0,12,0,80,48,64,84,80,82,87,100,92,88,0,84,0,0,24,0,67,77,0,21,49,23,0,65,8,53,82,82,64
l26,0=0,0,0,0,0,0,0,0,22,2,60,56,48,2,63,0,83,0,66,84,64,97,96,99,91,76,89,0,0,0,28,14,1,88,0,99,74,77,96,71,35,57,80,67,93
l27,0=28,0,0,33,0,41,68,14,0,4,28,12,0,21,49,0,81,89,40,19,41,0,0,0,0,0,9,13,0,0,0,86,29,80,0,79,0,35,62,91,60,90,39,0,40
l28,0=31,25,21,30,25,25,0,0,0,23,26,15,15,25,26,0,62,90,52,13,50,0,0,31,8,1,0,2,0,0,94,0,75,92,0,77,71,45,45,45,94,98,0,5,39
l29,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,40,0,62,0,80,9,94,36,0,90,0,0,0,80,85,0,98,0,100,98,100,99,97,94,98,0,22,0
