l0,0=0,95,100,94,95,94,92,90,62,93,91,91,56,82,57,0,55,45,32,52,0,0,0,0,0,0,0,0,0,0,75,9,0,0,0,0,0,0,0,0,34,0,0,0,0
l1,0=82,0,100,94,94,95,93,98,89,74,92,91,55,94,74,0,1,29,45,49,0,0,0,0,0,10,0,0,0,0,11,10,0,0,0,0,0,0,0,0,19,0,0,0,0
l2,0=97,95,0,93,95,95,93,100,96,77,92,92,93,95,77,0,56,49,81,85,76,0,0,0,0,51,60,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
l3,0=84,95,97,0,95,94,92,88,63,70,83,91,32,18,0,0,19,48,17,72,69,0,0,0,0,0,0,0,0,0,66,14,0,0,0,0,0,0,0,0,9,0,0,0,0
l4,0=97,95,100,94,0,95,92,47,62,78,87,83,55,81,58,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0
l5,0=85,95,100,91,95,0,93,100,65,74,88,91,55,83,63,0,18,24,58,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,6,0,0,0
l6,0=83,95,100,60,80,95,0,100,82,81,93,92,93,84,81,0,19,31,56,63,50,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l7,0=97,95,100,91,90,95,93,0,96,98,93,92,93,95,96,0,90,12,93,99,74,0,49,1,54,78,77,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l8,0=60,95,100,74,92,95,93,100,0,98,93,92,93,95,90,0,86,25,64,92,68,27,66,31,34,37,68,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
l9,0=95,87,92,55,91,92,93,97,96,0,93,92,93,95,96,0,83,23,54,54,69,39,0,46,34,19,19,0,0,0,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0
l10,0=63,95,90,11,77,50,58,58,89,93,0,92,93,65,78,0,90,33,92,93,89,11,56,51,50,80,85,56,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,21,0
l11,0=94,95,97,85,61,95,59,93,96,98,92,0,93,95,95,0,90,29,29,91,85,35,33,6,45,11,41,51,0,0,0,10,0,0,0,0,0,0,0,0,0,0,14,0,0
l12,0=94,95,96,51,91,95,93,92,91,93,93,92,0,95,94,0,90,83,91,93,92,1,10,36,17,72,85,72,0,0,33,3,0,0,0,0,0,0,0,0,40,0,0,17,42
l13,0=76,95,100,0,79,95,37,99,96,98,5,92,93,0,94,0,90,30,91,89,69,21,6,35,0,46,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
