l0,0=0,94,92,97,96,91,94,75,91,95,94,77,62,93,34,0,70,79,23,27,0,0,0,0,0,0,0,0,0,0,44,29,0,0,0,0,0,0,0,0,0,0,0,0,0
l1,0=55,0,92,97,82,91,94,67,93,93,92,92,62,94,51,0,65,38,24,22,0,0,0,0,0,0,0,0,0,0,16,23,0,0,0,0,0,0,0,0,30,0,0,0,0
l2,0=94,95,0,95,54,91,94,98,93,93,93,92,93,94,65,0,73,56,41,79,54,0,0,0,0,33,39,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
l3,0=94,94,92,0,96,91,67,67,93,93,44,77,57,91,34,0,46,48,0,0,0,0,0,0,0,0,0,0,0,0,85,74,0,0,0,0,0,0,0,0,30,29,0,0,0
l4,0=94,92,88,97,0,91,65,63,88,90,67,0,59,91,46,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,45,0,0,0,0,0,0,0,0,0,0,0,0,0
l5,0=94,95,92,88,96,0,80,72,92,48,56,77,62,94,25,0,56,9,52,20,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0
l6,0=94,95,92,91,57,91,0,98,93,96,94,68,94,62,59,0,73,43,32,28,23,0,0,0,0,0,0,0,0,0,32,39,0,0,0,0,0,0,0,0,0,0,0,0,0
l7,0=94,94,92,94,89,91,94,0,93,95,94,92,94,94,88,0,88,0,87,87,81,0,66,55,67,75,68,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l8,0=87,95,92,95,87,91,94,98,0,96,93,92,94,94,84,0,82,41,49,83,50,0,47,22,18,58,56,17,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,14,0
l9,0=92,92,87,92,91,88,93,97,93,0,94,92,94,94,88,0,87,23,34,0,29,25,0,28,19,42,29,0,0,0,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0
l10,0=34,33,78,0,87,73,90,91,91,70,0,57,94,50,6,0,87,26,55,53,91,12,33,30,25,83,54,25,0,0,5,2,0,0,0,0,0,0,0,1,0,0,18,20,0
l11,0=91,93,92,93,0,91,90,92,93,96,63,0,94,94,88,0,87,47,17,52,91,13,4,0,23,23,38,20,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
l12,0=91,93,92,77,66,82,90,91,91,93,94,92,0,94,88,0,87,85,88,86,91,0,0,13,24,56,72,28,0,0,19,40,0,0,0,0,0,0,0,0,14,0,0,20,23
l13,0=86,95,92,79,91,91,57,98,93,96,52,92,94,0,88,0,88,45,88,23,56,48,2,28,0,74,0,6,0,0,23,28,0,0,0,0,0,0,0,0,0,0,0,0,1
l14,0=22,32,74,17,64,16,49,56,56,33,0,35,61,53,0,0,88,84,91,86,98,0,21,30,26,50,42,27,0,0,33,32,0,1,0,0,0,0,0,0,25,26,29,29,34
l15,0=26,28,72,65,7,15,56,91,55,35,94,92,93,94,90,0,0,44,91,22,95,48,26,28,22,84,60,33,0,0,32,36,35,0,0,0,0,0,0,6,23,0,26,24,28
l16,0=10,2,68,59,0,26,35,0,36,2,33,41,47,30,79,0,79,0,38,31,97,0,0,0,28,48,56,0,0,0,37,50,24,16,0,0,0,35,77,24,50,85,36,7,0
l17,0=10,31,55,0,0,67,49,71,81,20,62,6,86,86,91,0,88,91,0,79,99,57,1,29,42,46,63,27,0,0,33,22,0,0,0,0,0,0,0,0,23,33,22,27,34
l18,0=0,20,59,0,0,17,35,84,85,0,40,41,58,33,89,0,71,89,55,0,99,91,49,32,30,84,84,30,0,0,28,25,24,57,0,0,15,16,71,0,51,58,36,30,33
l19,0=0,0,61,0,0,27,8,60,39,19,54,42,74,40,91,0,88,90,91,89,0,84,40,32,48,84,84,17,0,0,33,59,0,60,0,0,0,0,0,0,57,70,36,50,35
l20,0=0,0,0,0,0,0,0,0,0,49,47,40,0,45,0,0,80,2,80,86,69,0,94,97,71,84,84,95,0,0,0,0,56,65,0,82,79,56,81,45,0,55,62,67,66
l21,0=0,0,0,0,0,0,0,75,67,0,77,1,0,0,57,0,79,0,0,76,74,99,0,84,87,70,82,96,0,0,0,0,63,87,0,0,3,0,78,60,0,0,65,0,63
l22,0=0,0,0,0,0,0,0,57,53,65,73,0,2,59,80,0,81,51,63,86,77,98,78,0,87,63,86,95,0,0,0,36,95,91,0,83,89,70,89,49,67,59,75,81,77
l23,0=0,0,0,0,0,0,0,60,13,7,64,54,16,0,33,0,67,78,81,76,86,88,89,97,0,85,86,84,0,0,0,13,72,72,0,33,0,13,78,21,79,82,82,85,88
l24,0=0,0,25,0,0,0,0,67,42,23,87,19,62,66,75,0,87,70,70,86,88,98,69,46,90,0,86,76,0,0,0,32,8,80,0,20,32,32,60,63,56,46,83,84,78
l25,0=0,0,35,0,0,0,0,68,46,9,76,41,77,0,48,0,78,65,72,86,85,88,78,100,90,85,0,85,0,0,12,0,78,75,0,13,63,45,48,59,30,54,79,85,84
l26,0=0,0,0,0,0,0,0,0,43,0,67,60,67,26,74,0,87,23,69,86,55,98,93,97,87,82,85,0,0,0,15,0,90,93,0,95,57,65,94,80,36,53,83,60,88
l27,0=24,24,0,76,23,3,44,33,6,8,3,0,25,24,86,0,83,87,33,16,54,0,0,0,0,0,6,0,0,0,0,83,80,90,0,37,12,52,87,90,55,91,0,2,28
l28,0=9,11,54,63,47,0,42,0,4,4,16,25,31,23,37,0,75,91,20,16,56,0,0,15,13,42,0,0,0,0,90,0,88,91,0,34,42,57,78,82,94,94,0,0,5
l29,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,65,0,12,0,74,67,98,76,0,86,93,0,0,81,82,0,99,0,98,96,100,96,95,94,94,0,0,0
l30,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,78,67,94,24,74,70,89,0,0,90,83,100,0,0,98,96,100,96,95,94,94,46,18,10
l31,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,97,21,92,34,37,25,95,0,0,88,63,100,99,0,0,96,100,96,95,94,94,35,0,21
l32,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,82,39,88,5,37,65,72,0,0,24,70,100,99,0,98,0,100,96,95,87,86,36,0,0
