l0,0=0,94,95,93,99,94,95,64,60,92,92,92,93,62,12,0,67,19,2,1,0,0,0,0,0,0,0,0,0,0,86,47,0,0,0,0,0,0,0,0,0,0,0,0,0
l1,0=93,0,96,94,90,94,97,84,60,39,60,74,93,94,9,0,83,11,2,17,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,5,0,0,0,0
l2,0=94,94,0,94,85,94,97,92,60,90,61,82,93,95,25,0,87,11,3,14,18,0,0,0,0,0,7,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0
l3,0=93,63,76,0,99,93,68,61,60,86,28,72,88,48,68,0,76,77,0,0,3,0,0,0,0,0,0,0,0,0,86,51,0,0,0,0,0,0,0,0,14,9,0,0,0
l4,0=93,63,72,94,0,94,67,33,60,90,60,61,89,59,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,44,0,0,0,0,0,0,0,0,0,0,0,0,0
l5,0=94,95,79,94,99,0,93,67,60,59,57,72,93,59,50,0,74,46,43,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
l6,0=94,95,96,93,97,94,0,92,60,92,64,71,94,59,75,0,91,28,27,22,7,0,0,0,0,0,0,0,0,0,46,21,0,0,0,0,0,0,0,0,0,0,0,0,0
l7,0=76,93,96,49,5,94,97,0,60,73,73,92,94,95,59,0,90,0,55,65,29,2,3,11,21,38,38,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
l8,0=86,95,96,93,78,94,94,92,0,92,63,92,94,95,22,0,47,8,10,63,7,7,3,10,3,9,13,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0
l9,0=93,15,87,89,94,93,95,92,60,0,94,92,94,95,93,0,92,6,14,0,11,13,0,11,9,12,6,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
l10,0=53,76,78,10,70,75,86,61,35,63,0,91,94,0,0,0,92,56,57,56,53,5,15,74,40,51,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0
l11,0=67,95,92,87,62,93,88,87,60,92,94,0,94,95,91,0,92,53,11,55,50,6,1,0,51,3,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
l12,0=83,90,92,44,61,93,95,85,59,86,94,92,0,95,89,0,91,78,87,85,91,1,0,5,8,18,64,2,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,2,2
l13,0=82,95,96,67,87,93,87,92,60,92,0,92,94,0,92,0,92,54,91,27,33,10,1,48,0,41,0,2,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,2,0
l14,0=0,35,76,42,28,21,61,42,19,30,0,90,93,93,0,0,92,89,91,96,100,5,6,46,36,34,24,11,0,0,90,69,0,0,0,0,0,0,0,0,54,13,43,35,42
