55
0,85.333,94.667,87.333,94.667,85.333,96.667,97,89.333,90,81.667,80.333,89.667,0,0,7.3333,60.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,95.333,84.333,95,85.333,97,97,89.333,81.333,91.333,77,86.667,90,1,0,0,0,0,81.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,88.667,0,96.667,98.333,93.333,98,98.333,91.333,90.667,87.333,78,90.333,90.667,0,4.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.667,82.667,99.333,0,100,93.333,70.333,97.333,92,90.333,90.667,27,84.333,89.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.667,89,98,98.333,0,98,97,96.667,89.333,0,89.333,35,90.333,18.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.333,85.667,95.333,92,99.667,0,96,90.667,77,29,91.333,80.667,84.667,85.333,0,84,0,0,0,0,45.667,0,0,0,0,0,0,0,0.66667,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.667,85.667,95.333,39,97,86.333,0,98.667,99.333,91,92,75.333,92,91,0,91,0,0.66667,0,0,0.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,84.667,95.333,77,91.667,74,96.667,0,99.667,98,96,76.333,90.667,92,74.667,74.667,0,0,0,0,0,0,0,0.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91.333,85,92,82.333,92.667,28.333,98.667,99,0,98.667,98.333,85,96.333,90.667,51.667,77,0,0,0,0,0,41.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81.333,67,86.333,71,0,57.333,96,98.667,99,0,98.667,91,97,91.667,80,93,55.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44.333,80.333,72.667,72.333,77.333,83.333,96.667,98,93,98.333,0,94.333,98.333,93.667,90.333,94,74.333,0,0,0,26,0,2.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.333,72.333,90.667,5,71.333,89.333,80,93,96.667,98.333,100,0,99.667,97,94.333,89.667,68.333,0,1.6667,0,17.667,0,0,2.3333,0,0,0,0,50.667,63.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,62.333,82.667,38,80.667,73.333,96.333,90.667,92.333,96.667,98.333,95,0,96,90.667,94,83,0,68.667,66,0,48.667,47.667,0,41.333,0,0,0,1.3333,68,0,40.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,61.667,79.667,61.667,67,67.667,78,97,84,76.667,89.667,89.667,97.333,0,94,97,84,27.667,0,75,0,0,0,69.667,4.3333,0,0,0,77.333,53,65.333,0,0,0,0,0,0,0,0,0,0,0,2.3333,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,73.667,68.333,67.333,88.667,82,90.667,93.667,0,93.333,90.333,91.667,89.333,96.333,79.667,58.667,73.333,69,1,49.667,0,0,91,73.667,68.333,38.667,15.333,0,0,0,0,0,0,0,0,0,84.333,50.333,0,0,0,0,0.33333,0,0,0,0,0,0
